,v,vw,o,c,h,l,t,n
0,24812.374592105218,16602.745,16585.83,16587.61,16804.0,16450.62,1669248000000,482539
1,23588.292651345793,16481.9699,16587.6,16510.9,16617.0,16333.0,1669334400000,467705
2,14388.766516650836,16553.4151,16510.9,16450.93,16697.0,16376.1,1669420800000,328051
3,12650.567133049612,16519.0516,16450.32,16419.88,16603.0,16395.0,1669507200000,302531
4,35614.74221995051,16198.8799,16420.2,16206.3,16487.0,15992.64,1669593600000,600192
5,27163.492639700093,16398.2538,16206.23,16438.0,16545.0,16092.53,1669680000000,592670
6,49216.09374846007,16915.7557,16437.94,17167.33,17297.0,16420.2,1669766400000,813545
7,35354.944683788715,17050.8021,17181.0,16980.08,17335.0,16855.0,1669852800000,635894
8,26858.035957070588,16961.3886,16980.07,17094.71,17108.25,16784.2,1669939200000,523128
9,15718.311410266986,16971.5904,17091.0,16888.53,17171.7,16863.58,1670025600000,360027
10,19581.237526417026,17039.6972,16889.17,17108.9,17210.0,16882.86,1670112000000,363118
11,38100.80405050195,17158.2845,17108.9,16966.05,17440.0,16865.22,1670198400000,606143
12,29455.17379905368,16995.823,16966.05,17089.05,17111.35,16904.04,1670284800000,508389
13,25663.392964298666,16857.5204,17095.0,16840.0,17156.0,16679.52,1670371200000,458677
14,27795.012930844725,17001.1804,16839.76,17226.01,17323.0,16735.9,1670457600000,473054
15,24564.93539708025,17181.2386,17226.03,17130.59,17366.2,17053.0,1670544000000,450979
16,8836.281397072738,17160.7471,17131.3,17128.1,17240.0,17093.42,1670630400000,262907
17,12803.111501861687,17165.6853,17128.1,17085.21,17503.0,17070.4,1670716800000,270032
18,25597.08465134177,17014.5381,17088.2,17211.66,17263.0,16875.83,1670803200000,462472
19,48971.634286710825,17595.3754,17212.9,17773.18,18070.0,17089.17,1670889600000,830921
20,56486.82268649745,17944.2274,17772.98,17804.97,18391.0,17657.4,1670976000000,905761
21,42919.23107356017,17532.4294,17805.36,17357.96,17867.0,17261.4,1671062400000,727236
22,54208.2968012852,16972.6438,17359.1,16632.64,17544.0,16529.53,1671148800000,823214
