,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2022-12-01,3.83,0.0,3.5,-0.095,298812.0,0.002,27133601.29347826,0.016,-70762.0,0.388
2022-12-02,3.83,0.0,3.496774193548387,-0.092,298861.8064516129,0.017,27137821.413043477,0.016,-70736.12903225806,-0.037
2022-12-03,3.83,0.0,3.4935483870967743,-0.092,298911.6129032258,0.017,27142041.532608695,0.016,-70710.25806451614,-0.037
2022-12-04,3.83,0.0,3.490322580645161,-0.092,298961.4193548387,0.017,27146261.652173914,0.016,-70684.3870967742,-0.037
2022-12-05,3.83,0.0,3.4870967741935486,-0.092,299011.22580645164,0.017,27150481.77173913,0.016,-70658.51612903226,-0.037
2022-12-06,3.83,0.0,3.4838709677419355,-0.093,299061.03225806454,0.017,27154701.891304348,0.016,-70632.64516129032,-0.037
2022-12-07,3.83,0.0,3.4806451612903224,-0.093,299110.8387096774,0.017,27158922.010869566,0.016,-70606.7741935484,-0.037
2022-12-08,3.83,0.0,3.47741935483871,-0.093,299160.6451612903,0.017,27163142.13043478,0.016,-70580.90322580645,-0.037
2022-12-09,3.83,0.0,3.4741935483870967,-0.093,299210.4516129032,0.017,27167362.25,0.016,-70555.03225806452,-0.037
2022-12-10,3.83,0.0,3.4709677419354836,-0.093,299260.2580645161,0.017,27171582.36956522,0.016,-70529.16129032258,-0.037
2022-12-11,3.83,0.0,3.467741935483871,-0.093,299310.06451612903,0.017,27175802.489130434,0.016,-70503.29032258065,-0.037
2022-12-12,3.83,0.0,3.464516129032258,-0.093,299359.87096774194,0.017,27180022.608695652,0.016,-70477.41935483871,-0.037
2022-12-13,3.83,0.0,3.4612903225806453,-0.093,299409.67741935485,0.017,27184242.72826087,0.016,-70451.54838709677,-0.037
2022-12-14,3.83,0.0,3.458064516129032,-0.093,299459.48387096776,0.017,27188462.847826086,0.016,-70425.67741935483,-0.037
2022-12-15,4.33,13.055,3.454838709677419,-0.093,299509.29032258067,0.017,27192682.967391305,0.016,-70399.80645161291,-0.037
2022-12-16,4.33,0.0,3.4516129032258065,-0.093,299559.0967741936,0.017,27196903.086956523,0.016,-70373.93548387097,-0.037
2022-12-17,4.33,0.0,3.4483870967741934,-0.093,299608.9032258064,0.017,27201123.20652174,0.016,-70348.06451612903,-0.037
2022-12-18,4.33,0.0,3.445161290322581,-0.094,299658.70967741933,0.017,27205343.326086957,0.016,-70322.19354838709,-0.037
2022-12-19,4.33,0.0,3.4419354838709677,-0.094,299708.51612903224,0.017,27209563.445652176,0.016,-70296.32258064517,-0.037
2022-12-20,4.33,0.0,3.4387096774193546,-0.094,299758.32258064515,0.017,27213783.56521739,0.016,-70270.45161290323,-0.037
2022-12-21,4.33,0.0,3.435483870967742,-0.094,299808.12903225806,0.017,27218003.68478261,0.016,-70244.58064516129,-0.037
2022-12-22,4.33,0.0,3.432258064516129,-0.094,299857.93548387097,0.017,27222223.804347824,0.016,-70218.70967741935,-0.037
2022-12-23,4.33,0.0,3.429032258064516,-0.094,299907.7419354839,0.017,27226443.923913043,0.016,-70192.83870967742,-0.037
2022-12-24,4.33,0.0,3.425806451612903,-0.094,299957.5483870968,0.017,27230664.04347826,0.016,-70166.96774193548,-0.037
2022-12-25,4.33,0.0,3.42258064516129,-0.094,300007.3548387097,0.017,27234884.163043477,0.015,-70141.09677419355,-0.037
2022-12-26,4.33,0.0,3.4193548387096775,-0.094,300057.1612903226,0.017,27239104.282608695,0.015,-70115.2258064516,-0.037
2022-12-27,4.33,0.0,3.4161290322580644,-0.094,300106.96774193546,0.017,27243324.402173914,0.015,-70089.35483870968,-0.037
2022-12-28,4.33,0.0,3.4129032258064513,-0.094,300156.77419354836,0.017,27247544.52173913,0.015,-70063.48387096774,-0.037
2022-12-29,4.33,0.0,3.4096774193548387,-0.095,300206.5806451613,0.017,27251764.641304348,0.015,-70037.6129032258,-0.037
