,ds,y
0,2022-12-05,199.98
1,2022-12-06,196.98
2,2022-12-07,196.66
3,2022-12-08,198.36
4,2022-12-09,196.7
5,2022-12-10,196.7
6,2022-12-11,196.7
7,2022-12-12,199.53
8,2022-12-13,201.02
9,2022-12-14,199.9
10,2022-12-15,194.92
11,2022-12-16,192.69
12,2022-12-17,192.69
13,2022-12-18,192.69
14,2022-12-19,190.75
15,2022-12-20,191.15
16,2022-12-21,194.04
17,2022-12-22,190.37
18,2022-12-23,191.42
19,2022-12-24,191.42
20,2022-12-25,191.42
21,2022-12-26,191.42
22,2022-12-27,190.62
23,2022-12-28,188.22
24,2022-12-29,191.68
25,2022-12-30,191.19
26,2022-12-31,191.19
27,2023-01-01,191.19
28,2023-01-02,191.19
29,2023-01-03,190.41
30,2023-01-04,192.1
31,2023-01-05,189.85
32,2023-01-06,194.04
33,2023-01-07,194.04
34,2023-01-08,194.04
35,2023-01-09,194.12
36,2023-01-10,195.65
37,2023-01-11,198.23
38,2023-01-12,199.19
39,2023-01-13,200.04
40,2023-01-14,200.04
41,2023-01-15,200.04
42,2023-01-16,200.04
43,2023-01-17,199.77
44,2023-01-18,196.62
45,2023-01-19,195.02
46,2023-01-20,198.76
47,2023-01-21,198.76
48,2023-01-22,198.76
49,2023-01-23,201.28
50,2023-01-24,200.95
51,2023-01-25,201.05
52,2023-01-26,203.12
53,2023-01-27,203.94
54,2023-01-28,203.94
55,2023-01-29,203.94
56,2023-01-30,201.21
57,2023-01-31,204.43
58,2023-02-01,206.92
59,2023-02-02,210.01
60,2023-02-03,207.84
61,2023-02-04,207.84
62,2023-02-05,207.84
63,2023-02-06,206.28
64,2023-02-07,208.88
65,2023-02-08,206.65
66,2023-02-09,204.64
67,2023-02-10,205.01
68,2023-02-11,205.01
69,2023-02-12,205.01
70,2023-02-13,207.45
71,2023-02-14,207.53
72,2023-02-15,208.46
73,2023-02-16,205.68
74,2023-02-17,205.08
75,2023-02-18,205.08
76,2023-02-19,205.08
77,2023-02-20,205.08
78,2023-02-21,200.83
79,2023-02-22,200.66
80,2023-02-23,201.73
81,2023-02-24,199.48
82,2023-02-25,199.48
83,2023-02-26,199.48
84,2023-02-27,200.19
85,2023-02-28,199.52
86,2023-03-01,200.0
87,2023-03-02,200.31
88,2023-03-03,203.57
89,2023-03-04,203.57
90,2023-03-05,203.57
91,2023-03-06,203.3
92,2023-03-07,200.27
93,2023-03-08,200.53
94,2023-03-09,196.57
95,2023-03-10,193.26
96,2023-03-11,193.26
97,2023-03-12,193.26
98,2023-03-13,192.46
99,2023-03-14,195.89
100,2023-03-15,194.38
101,2023-03-16,197.74
102,2023-03-17,195.19
103,2023-03-18,195.19
104,2023-03-19,195.19
105,2023-03-20,196.89
106,2023-03-21,199.7
107,2023-03-22,196.13
108,2023-03-23,195.7
109,2023-03-24,196.93
110,2023-03-25,196.93
111,2023-03-26,196.93
112,2023-03-27,197.43
113,2023-03-28,197.15
114,2023-03-29,199.99
115,2023-03-30,201.07
116,2023-03-31,204.1
117,2023-04-01,204.1
118,2023-04-02,204.1
119,2023-04-03,204.64
120,2023-04-04,203.27
121,2023-04-05,202.53
122,2023-04-06,203.2
123,2023-04-07,203.2
124,2023-04-08,203.2
125,2023-04-09,203.2
126,2023-04-10,203.66
127,2023-04-11,203.87
128,2023-04-12,203.01
129,2023-04-13,205.65
130,2023-04-14,205.08
131,2023-04-15,205.08
132,2023-04-16,205.08
133,2023-04-17,205.9
134,2023-04-18,206.0
135,2023-04-19,206.1
136,2023-04-20,204.82
137,2023-04-21,205.0
138,2023-04-22,205.0
139,2023-04-23,205.0
140,2023-04-24,205.08
141,2023-04-25,201.66
142,2023-04-26,200.75
143,2023-04-27,204.52
144,2023-04-28,206.3
145,2023-04-29,206.3
146,2023-04-30,206.3
147,2023-05-01,206.2
148,2023-05-02,203.68
149,2023-05-03,202.49
150,2023-05-04,200.98
151,2023-05-05,204.69
152,2023-05-06,204.69
153,2023-05-07,204.69
154,2023-05-08,204.91
155,2023-05-09,204.07
156,2023-05-10,204.97
157,2023-05-11,204.7
158,2023-05-12,204.22
159,2023-05-13,204.22
160,2023-05-14,204.22
161,2023-05-15,205.09
162,2023-05-16,203.5
163,2023-05-17,206.14
164,2023-05-18,208.19
165,2023-05-19,207.69
166,2023-05-20,207.69
167,2023-05-21,207.69
168,2023-05-22,208.05
169,2023-05-23,205.85
170,2023-05-24,204.26
171,2023-05-25,205.65
172,2023-05-26,208.36
173,2023-05-27,208.36
174,2023-05-28,208.36
175,2023-05-29,208.36
176,2023-05-30,208.43
177,2023-05-31,207.18
178,2023-06-01,209.25
179,2023-06-02,212.71
180,2023-06-03,212.71
181,2023-06-04,212.71
182,2023-06-05,212.15
183,2023-06-06,213.12
184,2023-06-07,212.7
185,2023-06-08,213.7
186,2023-06-09,213.93
187,2023-06-10,213.93
188,2023-06-11,213.93
189,2023-06-12,215.85
190,2023-06-13,217.44
191,2023-06-14,217.44
192,2023-06-15,220.09
193,2023-06-16,219.26
194,2023-06-17,219.26
195,2023-06-18,219.26
196,2023-06-19,219.26
197,2023-06-20,218.18
198,2023-06-21,216.98
199,2023-06-22,217.56
200,2023-06-23,214.94
201,2023-06-24,214.94
202,2023-06-25,214.94
203,2023-06-26,214.19
204,2023-06-27,216.8
205,2023-06-28,216.98
206,2023-06-29,218.02
207,2023-06-30,220.28
208,2023-07-01,220.28
209,2023-07-02,220.28
210,2023-07-03,220.94
211,2023-07-04,220.94
212,2023-07-05,220.27
213,2023-07-06,218.31
214,2023-07-07,218.04
215,2023-07-08,218.04
216,2023-07-09,218.04
217,2023-07-10,218.99
218,2023-07-11,220.71
219,2023-07-12,222.4
220,2023-07-13,224.28
221,2023-07-14,223.95
222,2023-07-15,223.95
223,2023-07-16,223.95
224,2023-07-17,224.8
225,2023-07-18,226.59
226,2023-07-19,227.18
227,2023-07-20,225.54
228,2023-07-21,225.52
229,2023-07-22,225.52
230,2023-07-23,225.52
231,2023-07-24,226.32
232,2023-07-25,226.89
233,2023-07-26,227.06
234,2023-07-27,225.31
235,2023-07-28,227.66
236,2023-07-29,227.66
237,2023-07-30,227.66
238,2023-07-31,228.35
239,2023-08-01,227.73
240,2023-08-02,224.5
241,2023-08-03,223.85
242,2023-08-04,222.9
243,2023-08-05,222.9
244,2023-08-06,222.9
245,2023-08-07,224.61
246,2023-08-08,223.57
247,2023-08-09,221.97
248,2023-08-10,222.01
249,2023-08-11,221.8
250,2023-08-12,221.8
251,2023-08-13,221.8
252,2023-08-14,222.9
253,2023-08-15,220.37
254,2023-08-16,218.55
255,2023-08-17,216.76
256,2023-08-18,217.01
257,2023-08-19,217.01
258,2023-08-20,217.01
259,2023-08-21,218.26
260,2023-08-22,217.68
261,2023-08-23,220.06
262,2023-08-24,217.11
263,2023-08-25,218.59
264,2023-08-26,218.59
265,2023-08-27,218.59
266,2023-08-28,219.99
267,2023-08-29,223.19
268,2023-08-30,224.18
269,2023-08-31,223.94
270,2023-09-01,224.68
271,2023-09-02,224.68
272,2023-09-03,224.68
273,2023-09-04,224.68
274,2023-09-05,223.34
275,2023-09-06,221.94
276,2023-09-07,221.18
277,2023-09-08,221.42
278,2023-09-09,221.42
279,2023-09-10,221.42
280,2023-09-11,222.81
281,2023-09-12,221.73
282,2023-09-13,221.76
283,2023-09-14,223.66
284,2023-09-15,221.03
285,2023-09-16,221.03
