,ds,y
0,2022-12-05,16966.05
1,2022-12-06,17089.05
2,2022-12-07,16840.0
3,2022-12-08,17226.01
4,2022-12-09,17130.59
5,2022-12-10,17128.1
6,2022-12-11,17085.21
7,2022-12-12,17211.66
8,2022-12-13,17773.18
9,2022-12-14,17804.97
10,2022-12-15,17357.96
11,2022-12-16,16632.64
12,2022-12-17,16782.25
13,2022-12-18,16755.0
14,2022-12-19,16439.74
15,2022-12-20,16897.65
16,2022-12-21,16826.56
17,2022-12-22,16815.51
18,2022-12-23,16777.21
19,2022-12-24,16837.12
20,2022-12-25,16829.02
21,2022-12-26,16917.96
22,2022-12-27,16698.73
23,2022-12-28,16539.66
24,2022-12-29,16628.8
25,2022-12-30,16600.1
26,2022-12-31,16530.35
27,2023-01-01,16611.58
28,2023-01-02,16666.95
29,2023-01-03,16669.47
30,2023-01-04,16844.42
31,2023-01-05,16825.69
32,2023-01-06,16948.06
33,2023-01-07,16942.37
34,2023-01-08,17125.18
35,2023-01-09,17177.98
36,2023-01-10,17443.5
37,2023-01-11,17944.27
38,2023-01-12,18847.75
39,2023-01-13,19934.88
40,2023-01-14,20957.02
41,2023-01-15,20879.7
42,2023-01-16,21197.0
43,2023-01-17,21136.33
44,2023-01-18,20674.29
45,2023-01-19,21084.22
46,2023-01-20,22669.81
47,2023-01-21,22789.37
48,2023-01-22,22714.87
49,2023-01-23,22920.29
50,2023-01-24,22633.8
51,2023-01-25,23062.36
52,2023-01-26,23010.47
53,2023-01-27,23084.4
54,2023-01-28,23028.95
55,2023-01-29,23745.8
56,2023-01-30,22836.03
57,2023-01-31,23128.86
58,2023-02-01,23732.6
59,2023-02-02,23493.84
60,2023-02-03,23433.54
61,2023-02-04,23327.3
62,2023-02-05,22936.34
63,2023-02-06,22764.07
64,2023-02-07,23244.67
65,2023-02-08,22964.38
66,2023-02-09,21800.63
67,2023-02-10,21628.97
68,2023-02-11,21863.73
69,2023-02-12,21789.8
70,2023-02-13,21789.14
71,2023-02-14,22206.27
72,2023-02-15,24329.04
73,2023-02-16,23521.5
74,2023-02-17,24577.6
75,2023-02-18,24636.23
76,2023-02-19,24281.31
77,2023-02-20,24844.97
78,2023-02-21,24454.43
79,2023-02-22,24184.44
80,2023-02-23,23943.32
81,2023-02-24,23186.88
82,2023-02-25,23159.71
83,2023-02-26,23556.83
84,2023-02-27,23489.52
85,2023-02-28,23133.2
86,2023-03-01,23646.0
87,2023-03-02,23468.24
88,2023-03-03,22358.18
89,2023-03-04,22350.95
90,2023-03-05,22432.69
91,2023-03-06,22410.31
92,2023-03-07,22198.48
93,2023-03-08,21698.37
94,2023-03-09,20367.01
95,2023-03-10,20230.08
96,2023-03-11,20620.54
97,2023-03-12,22219.08
98,2023-03-13,24220.0
99,2023-03-14,24762.65
100,2023-03-15,24377.16
101,2023-03-16,25051.85
102,2023-03-17,27453.62
103,2023-03-18,26980.35
104,2023-03-19,28054.46
105,2023-03-20,27823.32
106,2023-03-21,28207.33
107,2023-03-22,27300.0
108,2023-03-23,28352.94
109,2023-03-24,27489.24
110,2023-03-25,27488.18
111,2023-03-26,27992.9
112,2023-03-27,27142.87
113,2023-03-28,27274.15
114,2023-03-29,28359.54
115,2023-03-30,28035.48
116,2023-03-31,28474.4
117,2023-04-01,28471.46
118,2023-04-02,28188.34
119,2023-04-03,27800.7
120,2023-04-04,28179.64
121,2023-04-05,28175.37
122,2023-04-06,28053.46
123,2023-04-07,27931.94
124,2023-04-08,27958.81
125,2023-04-09,28340.99
126,2023-04-10,29660.41
127,2023-04-11,30227.19
128,2023-04-12,29912.2
129,2023-04-13,30406.78
130,2023-04-14,30492.92
131,2023-04-15,30324.11
132,2023-04-16,30326.09
133,2023-04-17,29449.91
134,2023-04-18,30393.4
135,2023-04-19,28809.72
136,2023-04-20,28248.18
137,2023-04-21,27264.3
138,2023-04-22,27821.41
139,2023-04-23,27592.98
140,2023-04-24,27515.05
141,2023-04-25,28304.42
142,2023-04-26,28426.08
143,2023-04-27,29483.72
144,2023-04-28,29338.63
145,2023-04-29,29249.35
146,2023-04-30,29254.0
147,2023-05-01,28077.27
148,2023-05-02,28684.4
149,2023-05-03,29038.75
150,2023-05-04,28857.23
151,2023-05-05,29536.76
152,2023-05-06,28902.66
153,2023-05-07,28468.0
154,2023-05-08,27695.06
155,2023-05-09,27635.0
156,2023-05-10,27624.01
157,2023-05-11,26986.56
158,2023-05-12,26808.84
159,2023-05-13,26786.3
160,2023-05-14,26929.98
161,2023-05-15,27171.13
162,2023-05-16,27037.68
163,2023-05-17,27407.77
164,2023-05-18,26817.9
165,2023-05-19,26890.27
166,2023-05-20,27113.61
167,2023-05-21,26752.65
168,2023-05-22,26854.73
169,2023-05-23,27221.5
170,2023-05-24,26321.4
171,2023-05-25,26479.06
172,2023-05-26,26736.0
173,2023-05-27,26873.7
174,2023-05-28,28070.04
175,2023-05-29,27744.82
176,2023-05-30,27699.2
177,2023-05-31,27223.08
178,2023-06-01,26828.42
179,2023-06-02,27250.69
180,2023-06-03,27077.6
181,2023-06-04,27126.0
182,2023-06-05,25741.5
183,2023-06-06,27243.63
184,2023-06-07,26346.41
185,2023-06-08,26506.7
186,2023-06-09,26482.81
187,2023-06-10,25856.1
188,2023-06-11,25937.02
189,2023-06-12,25905.82
190,2023-06-13,25930.23
191,2023-06-14,25123.34
192,2023-06-15,25569.99
193,2023-06-16,26329.6
194,2023-06-17,26506.56
195,2023-06-18,26336.46
196,2023-06-19,26837.78
197,2023-06-20,28320.43
198,2023-06-21,29995.08
199,2023-06-22,29886.31
200,2023-06-23,30707.61
201,2023-06-24,30547.18
202,2023-06-25,30480.24
203,2023-06-26,30264.2
204,2023-06-27,30697.38
205,2023-06-28,30074.94
206,2023-06-29,30450.6
207,2023-06-30,30466.72
208,2023-07-01,30587.21
209,2023-07-02,30613.51
210,2023-07-03,31161.8
211,2023-07-04,30771.25
212,2023-07-05,30499.27
213,2023-07-06,29899.38
214,2023-07-07,30352.08
215,2023-07-08,30291.69
216,2023-07-09,30168.38
217,2023-07-10,30419.89
218,2023-07-11,30626.55
219,2023-07-12,30381.81
220,2023-07-13,31471.83
221,2023-07-14,30330.52
222,2023-07-15,30301.65
223,2023-07-16,30247.64
224,2023-07-17,30143.08
225,2023-07-18,29861.93
226,2023-07-19,29916.72
227,2023-07-20,29809.13
228,2023-07-21,29940.0
229,2023-07-22,29821.0
230,2023-07-23,30081.61
231,2023-07-24,29176.98
232,2023-07-25,29225.14
233,2023-07-26,29353.23
234,2023-07-27,29214.92
235,2023-07-28,29316.15
236,2023-07-29,29355.71
237,2023-07-30,29281.39
238,2023-07-31,29230.67
239,2023-08-01,29697.27
240,2023-08-02,29164.22
241,2023-08-03,29174.18
242,2023-08-04,29076.48
243,2023-08-05,29047.1
244,2023-08-06,29040.01
245,2023-08-07,29179.21
246,2023-08-08,29770.01
247,2023-08-09,29562.76
248,2023-08-10,29424.03
249,2023-08-11,29400.45
250,2023-08-12,29416.96
251,2023-08-13,29275.94
252,2023-08-14,29405.49
253,2023-08-15,29170.14
254,2023-08-16,28700.51
255,2023-08-17,26627.57
256,2023-08-18,26048.89
257,2023-08-19,26096.42
258,2023-08-20,26189.14
259,2023-08-21,26125.18
260,2023-08-22,26040.4
261,2023-08-23,26427.54
262,2023-08-24,26163.49
