,ds,y
0,2022-12-05,1769.12
1,2022-12-06,1770.99
2,2022-12-07,1787.06
3,2022-12-08,1789.1
4,2022-12-09,1797.06
5,2022-12-10,1797.06
6,2022-12-11,1794.8
7,2022-12-12,1781.92
8,2022-12-13,1809.58
9,2022-12-14,1807.6
10,2022-12-15,1776.43
11,2022-12-16,1792.88
12,2022-12-17,1792.88
13,2022-12-18,1790.99
14,2022-12-19,1787.2
15,2022-12-20,1817.15
16,2022-12-21,1814.79
17,2022-12-22,1792.31
18,2022-12-23,1798.19
19,2022-12-24,1798.19
20,2022-12-25,1806.41
21,2022-12-26,1801.82
22,2022-12-27,1812.36
23,2022-12-28,1805.69
24,2022-12-29,1814.01
25,2022-12-30,1823.38
26,2022-12-31,1823.38
27,2023-01-01,1826.51
28,2023-01-02,1829.15
29,2023-01-03,1836.47
30,2023-01-04,1854.83
31,2023-01-05,1832.66
32,2023-01-06,1865.9
33,2023-01-07,1865.9
34,2023-01-08,1869.52
35,2023-01-09,1870.38
36,2023-01-10,1877.18
37,2023-01-11,1876.9
38,2023-01-12,1897.99
39,2023-01-13,1920.12
40,2023-01-14,1920.12
41,2023-01-15,1917.19
42,2023-01-16,1917.93
43,2023-01-17,1908.69
44,2023-01-18,1906.86
45,2023-01-19,1931.96
46,2023-01-20,1925.78
47,2023-01-21,1925.78
48,2023-01-22,1927.18
49,2023-01-23,1931.28
50,2023-01-24,1937.01
51,2023-01-25,1948.31
52,2023-01-26,1930.33
53,2023-01-27,1927.72
54,2023-01-28,1927.72
55,2023-01-29,1928.65
56,2023-01-30,1922.09
57,2023-01-31,1927.31
58,2023-02-01,1953.03
59,2023-02-02,1914.79
60,2023-02-03,1865.39
61,2023-02-04,1865.39
62,2023-02-05,1865.24
63,2023-02-06,1868.45
64,2023-02-07,1872.94
65,2023-02-08,1874.97
66,2023-02-09,1862.23
67,2023-02-10,1865.28
68,2023-02-11,1865.28
69,2023-02-12,1865.28
70,2023-02-13,1854.34
71,2023-02-14,1854.94
72,2023-02-15,1836.51
73,2023-02-16,1834.22
74,2023-02-17,1842.34
75,2023-02-18,1842.34
76,2023-02-19,1838.59
77,2023-02-20,1841.65
78,2023-02-21,1835.5
79,2023-02-22,1825.02
80,2023-02-23,1823.24
81,2023-02-24,1810.67
82,2023-02-25,1810.67
83,2023-02-26,1811.8
84,2023-02-27,1817.08
85,2023-02-28,1825.49
86,2023-03-01,1836.51
87,2023-03-02,1837.66
88,2023-03-03,1855.18
89,2023-03-04,1855.18
90,2023-03-05,1852.19
91,2023-03-06,1846.29
92,2023-03-07,1813.82
93,2023-03-08,1815.12
94,2023-03-09,1831.37
95,2023-03-10,1867.05
96,2023-03-11,1867.05
97,2023-03-12,1877.59
98,2023-03-13,1912.13
99,2023-03-14,1903.02
100,2023-03-15,1921.03
101,2023-03-16,1921.3
102,2023-03-17,1987.46
103,2023-03-18,1987.46
104,2023-03-19,1976.55
105,2023-03-20,1976.52
106,2023-03-21,1942.81
107,2023-03-22,1969.57
108,2023-03-23,1991.23
109,2023-03-24,1978.42
110,2023-03-25,1978.42
111,2023-03-26,1975.72
112,2023-03-27,1958.02
113,2023-03-28,1971.86
114,2023-03-29,1963.15
115,2023-03-30,1978.39
116,2023-03-31,1969.22
117,2023-04-01,1969.22
118,2023-04-02,1957.65
119,2023-04-03,1984.77
120,2023-04-04,2021.6
121,2023-04-05,2020.23
122,2023-04-06,2007.56
123,2023-04-07,2007.24
124,2023-04-08,2007.24
125,2023-04-09,2005.49
126,2023-04-10,1992.37
127,2023-04-11,2004.63
128,2023-04-12,2018.09
